             12,DECEPTIVE PRACTICE                                                                                  ,     27502
             12,GAMBLING                                                                                            ,       321
             12,HOMICIDE                                                                                            ,       648
             12,HUMAN TRAFFICKING                                                                                   ,        13
             12,INTERFERENCE WITH PUBLIC OFFICER                                                                    ,       960
             12,INTIMIDATION                                                                                        ,       114
             12,KIDNAPPING                                                                                          ,       101
             12,LIQUOR LAW VIOLATION                                                                                ,       785
             12,MOTOR VEHICLE THEFT                                                                                 ,     18671
             12,NARCOTICS                                                                                           ,     22527
             12,NON - CRIMINAL                                                                                      ,         1
             12,NON-CRIMINAL                                                                                        ,         6
             12,OBSCENITY                                                                                           ,        63
             12,OFFENSE INVOLVING CHILDREN                                                                          ,      5728
             12,OTHER NARCOTIC VIOLATION                                                                            ,         3
             12,OTHER OFFENSE                                                                                       ,     22580
             12,PROSTITUTION                                                                                        ,      2650
             12,PUBLIC INDECENCY                                                                                    ,         3
             12,PUBLIC PEACE VIOLATION                                                                              ,      1710
             12,RITUALISM                                                                                           ,         1
             12,ROBBERY                                                                                             ,     12313
             12,SEX OFFENSE                                                                                         ,      2086
             12,STALKING                                                                                            ,       205
             12,THEFT                                                                                               ,     75265
             12,WEAPONS VIOLATION                                                                                   ,      4861
             13,ARSON                                                                                               ,       211
             13,ASSAULT                                                                                             ,     22689
             13,BATTERY                                                                                             ,     50982
             13,BURGLARY                                                                                            ,     17438
             13,CONCEALED CARRY LICENSE VIOLATION                                                                   ,        21
             13,CRIM SEXUAL ASSAULT                                                                                 ,       596
             13,CRIMINAL DAMAGE                                                                                     ,     23163
             13,CRIMINAL SEXUAL ASSAULT                                                                             ,         8
             13,CRIMINAL TRESPASS                                                                                   ,      9782
             13,DECEPTIVE PRACTICE                                                                                  ,     14216
             13,GAMBLING                                                                                            ,       812
             13,HOMICIDE                                                                                            ,       308
             13,HUMAN TRAFFICKING                                                                                   ,         6
             13,INTERFERENCE WITH PUBLIC OFFICER                                                                    ,       627
             13,INTIMIDATION                                                                                        ,       235
             13,KIDNAPPING                                                                                          ,       219
             13,LIQUOR LAW VIOLATION                                                                                ,       313
             13,MOTOR VEHICLE THEFT                                                                                 ,      8740
             13,NARCOTICS                                                                                           ,     42022
             13,NON - CRIMINAL                                                                                      ,         2
             13,NON-CRIMINAL                                                                                        ,         4
             13,NON-CRIMINAL (SUBJECT SPECIFIED)                                                                    ,         1
             13,OBSCENITY                                                                                           ,        36
             13,OFFENSE INVOLVING CHILDREN                                                                          ,      1591
             13,OTHER NARCOTIC VIOLATION                                                                            ,        14
             13,OTHER OFFENSE                                                                                       ,     18640
             13,PROSTITUTION                                                                                        ,      1028
             13,PUBLIC INDECENCY                                                                                    ,         6
             13,PUBLIC PEACE VIOLATION                                                                              ,      2576
             13,RITUALISM                                                                                           ,         1
             13,ROBBERY                                                                                             ,      9305
             13,SEX OFFENSE                                                                                         ,      1103
             13,STALKING                                                                                            ,       154
             13,THEFT                                                                                               ,     76244
             13,WEAPONS VIOLATION                                                                                   ,      2906
             14,ARSON                                                                                               ,       223
             14,ASSAULT                                                                                             ,     25489
             14,BATTERY                                                                                             ,     58892
             14,BURGLARY                                                                                            ,     17916
             14,CONCEALED CARRY LICENSE VIOLATION                                                                   ,        14
             14,CRIM SEXUAL ASSAULT                                                                                 ,       708
             14,CRIMINAL DAMAGE                                                                                     ,     26461
             14,CRIMINAL SEXUAL ASSAULT                                                                             ,        11
             14,CRIMINAL TRESPASS                                                                                   ,     10115
             14,DECEPTIVE PRACTICE                                                                                  ,     14547
             14,GAMBLING                                                                                            ,       920
             14,HOMICIDE                                                                                            ,       362
             14,HUMAN TRAFFICKING                                                                                   ,         3
             14,INTERFERENCE WITH PUBLIC OFFICER                                                                    ,       602
             14,INTIMIDATION                                                                                        ,       261
             14,KIDNAPPING                                                                                          ,       363
             14,LIQUOR LAW VIOLATION                                                                                ,       265
             14,MOTOR VEHICLE THEFT                                                                                 ,      9782
             14,NARCOTICS                                                                                           ,     38849
             14,NON - CRIMINAL                                                                                      ,         1
             14,NON-CRIMINAL                                                                                        ,        10
             14,OBSCENITY                                                                                           ,        33
             14,OFFENSE INVOLVING CHILDREN                                                                          ,      2009
             14,OTHER NARCOTIC VIOLATION                                                                            ,         6
             14,OTHER OFFENSE                                                                                       ,     19038
             14,PROSTITUTION                                                                                        ,       991
             14,PUBLIC INDECENCY                                                                                    ,         7
             14,PUBLIC PEACE VIOLATION                                                                              ,      2578
             14,RITUALISM                                                                                           ,         3
             14,ROBBERY                                                                                             ,     10335
             14,SEX OFFENSE                                                                                         ,      1199
             14,STALKING                                                                                            ,       166
             14,THEFT                                                                                               ,     80702
             14,WEAPONS VIOLATION                                                                                   ,      2936
             15,ARSON                                                                                               ,       221
             15,ASSAULT                                                                                             ,     27171
             15,BATTERY                                                                                             ,     64474
             15,BURGLARY                                                                                            ,     18056
             15,CONCEALED CARRY LICENSE VIOLATION                                                                   ,        10
             15,CRIM SEXUAL ASSAULT                                                                                 ,       901
             15,CRIMINAL DAMAGE                                                                                     ,     30603
             15,CRIMINAL SEXUAL ASSAULT                                                                             ,        16
             15,CRIMINAL TRESPASS                                                                                   ,      9786
             15,DECEPTIVE PRACTICE                                                                                  ,     15022
             15,GAMBLING                                                                                            ,       751
             15,HOMICIDE                                                                                            ,       351
             15,HUMAN TRAFFICKING                                                                                   ,         3
             15,INTERFERENCE WITH PUBLIC OFFICER                                                                    ,       748
             15,INTIMIDATION                                                                                        ,       258
             15,KIDNAPPING                                                                                          ,       505
             15,LIQUOR LAW VIOLATION                                                                                ,       245
             15,MOTOR VEHICLE THEFT                                                                                 ,     11395
             15,NARCOTICS                                                                                           ,     33297
             15,NON - CRIMINAL                                                                                      ,         5
             15,NON-CRIMINAL                                                                                        ,         7
             15,OBSCENITY                                                                                           ,        45
             15,OFFENSE INVOLVING CHILDREN                                                                          ,      2784
             15,OTHER NARCOTIC VIOLATION                                                                            ,         3
             15,OTHER OFFENSE                                                                                       ,     20563
             15,PROSTITUTION                                                                                        ,       702
             15,PUBLIC INDECENCY                                                                                    ,         6
             15,PUBLIC PEACE VIOLATION                                                                              ,      3151
             15,RITUALISM                                                                                           ,         1
             15,ROBBERY                                                                                             ,     11985
             15,SEX OFFENSE                                                                                         ,      1406
             15,STALKING                                                                                            ,       217
             15,THEFT                                                                                               ,     85416
             15,WEAPONS VIOLATION                                                                                   ,      2977
             16,ARSON                                                                                               ,       245
             16,ASSAULT                                                                                             ,     24645
             16,BATTERY                                                                                             ,     58690
             16,BURGLARY                                                                                            ,     17102
             16,CONCEALED CARRY LICENSE VIOLATION                                                                   ,        20
             16,CRIM SEXUAL ASSAULT                                                                                 ,       887
             16,CRIMINAL DAMAGE                                                                                     ,     32601
             16,CRIMINAL SEXUAL ASSAULT                                                                             ,        18
             16,CRIMINAL TRESPASS                                                                                   ,      9584
             16,DECEPTIVE PRACTICE                                                                                  ,     13315
             16,GAMBLING                                                                                            ,       720
             16,HOMICIDE                                                                                            ,       421
             16,HUMAN TRAFFICKING                                                                                   ,         4
             16,INTERFERENCE WITH PUBLIC OFFICER                                                                    ,       775
             16,INTIMIDATION                                                                                        ,       223
             16,KIDNAPPING                                                                                          ,       422
             16,LIQUOR LAW VIOLATION                                                                                ,       365
             16,MOTOR VEHICLE THEFT                                                                                 ,     12010
             16,NARCOTICS                                                                                           ,     28989
             16,NON - CRIMINAL                                                                                      ,         1
             16,NON-CRIMINAL                                                                                        ,        11
             16,OBSCENITY                                                                                           ,        29
             16,OFFENSE INVOLVING CHILDREN                                                                          ,      2741
             16,OTHER NARCOTIC VIOLATION                                                                            ,         7
             16,OTHER OFFENSE                                                                                       ,     19681
             16,PROSTITUTION                                                                                        ,       680
             16,PUBLIC INDECENCY                                                                                    ,        14
             16,PUBLIC PEACE VIOLATION                                                                              ,      2466
             16,RITUALISM                                                                                           ,         2
             16,ROBBERY                                                                                             ,     12272
             16,SEX OFFENSE                                                                                         ,      1297
             16,STALKING                                                                                            ,       188
