AIRPORT TRANSPORTATION SYSTEM (ATS)                         ,             21,         2
AIRPORT TRANSPORTATION SYSTEM (ATS)                         ,             22,         2
AIRPORT TRANSPORTATION SYSTEM (ATS)                         ,             24,         6
AIRPORT VENDING ESTABLISHMENT                               ,              1,        27
AIRPORT VENDING ESTABLISHMENT                               ,              2,        13
AIRPORT VENDING ESTABLISHMENT                               ,              3,        12
AIRPORT VENDING ESTABLISHMENT                               ,              4,         6
AIRPORT VENDING ESTABLISHMENT                               ,              5,        16
AIRPORT VENDING ESTABLISHMENT                               ,              6,        14
AIRPORT VENDING ESTABLISHMENT                               ,              7,        24
AIRPORT VENDING ESTABLISHMENT                               ,              8,        44
AIRPORT VENDING ESTABLISHMENT                               ,              9,        41
AIRPORT VENDING ESTABLISHMENT                               ,             10,        33
AIRPORT VENDING ESTABLISHMENT                               ,             11,        46
AIRPORT VENDING ESTABLISHMENT                               ,             12,        46
AIRPORT VENDING ESTABLISHMENT                               ,             13,        44
AIRPORT VENDING ESTABLISHMENT                               ,             14,        54
AIRPORT VENDING ESTABLISHMENT                               ,             15,        39
AIRPORT VENDING ESTABLISHMENT                               ,             16,        63
AIRPORT VENDING ESTABLISHMENT                               ,             17,        43
AIRPORT VENDING ESTABLISHMENT                               ,             18,        55
AIRPORT VENDING ESTABLISHMENT                               ,             19,        50
AIRPORT VENDING ESTABLISHMENT                               ,             20,        43
AIRPORT VENDING ESTABLISHMENT                               ,             21,        31
AIRPORT VENDING ESTABLISHMENT                               ,             22,        44
AIRPORT VENDING ESTABLISHMENT                               ,             23,        27
AIRPORT VENDING ESTABLISHMENT                               ,             24,        78
AIRPORT/AIRCRAFT                                            ,              1,       168
AIRPORT/AIRCRAFT                                            ,              2,        82
AIRPORT/AIRCRAFT                                            ,              3,        87
AIRPORT/AIRCRAFT                                            ,              4,       185
AIRPORT/AIRCRAFT                                            ,              5,       510
AIRPORT/AIRCRAFT                                            ,              6,       579
AIRPORT/AIRCRAFT                                            ,              7,       711
AIRPORT/AIRCRAFT                                            ,              8,       888
AIRPORT/AIRCRAFT                                            ,              9,       854
AIRPORT/AIRCRAFT                                            ,             10,       593
AIRPORT/AIRCRAFT                                            ,             11,       601
AIRPORT/AIRCRAFT                                            ,             12,       569
AIRPORT/AIRCRAFT                                            ,             13,       756
AIRPORT/AIRCRAFT                                            ,             14,       821
AIRPORT/AIRCRAFT                                            ,             15,       738
AIRPORT/AIRCRAFT                                            ,             16,       731
AIRPORT/AIRCRAFT                                            ,             17,       713
AIRPORT/AIRCRAFT                                            ,             18,       661
AIRPORT/AIRCRAFT                                            ,             19,       563
AIRPORT/AIRCRAFT                                            ,             20,       517
AIRPORT/AIRCRAFT                                            ,             21,       386
AIRPORT/AIRCRAFT                                            ,             22,       301
AIRPORT/AIRCRAFT                                            ,             23,       251
AIRPORT/AIRCRAFT                                            ,             24,       814
ALLEY                                                       ,              1,      4948
ALLEY                                                       ,              2,      4034
ALLEY                                                       ,              3,      3203
ALLEY                                                       ,              4,      2250
ALLEY                                                       ,              5,      1692
ALLEY                                                       ,              6,      1626
ALLEY                                                       ,              7,      2084
ALLEY                                                       ,              8,      2985
ALLEY                                                       ,              9,      3526
ALLEY                                                       ,             10,      4835
ALLEY                                                       ,             11,      6452
ALLEY                                                       ,             12,      6698
ALLEY                                                       ,             13,      6899
ALLEY                                                       ,             14,      7108
ALLEY                                                       ,             15,      7573
ALLEY                                                       ,             16,      7385
ALLEY                                                       ,             17,      7278
ALLEY                                                       ,             18,      8379
ALLEY                                                       ,             19,     10168
ALLEY                                                       ,             20,     10111
ALLEY                                                       ,             21,      9917
ALLEY                                                       ,             22,      9564
ALLEY                                                       ,             23,      7900
ALLEY                                                       ,             24,      6901
ANIMAL HOSPITAL                                             ,              1,        16
ANIMAL HOSPITAL                                             ,              2,        15
ANIMAL HOSPITAL                                             ,              3,        17
ANIMAL HOSPITAL                                             ,              4,         8
ANIMAL HOSPITAL                                             ,              5,         6
ANIMAL HOSPITAL                                             ,              6,        18
ANIMAL HOSPITAL                                             ,              7,        16
ANIMAL HOSPITAL                                             ,              8,        36
ANIMAL HOSPITAL                                             ,              9,        56
ANIMAL HOSPITAL                                             ,             10,        49
ANIMAL HOSPITAL                                             ,             11,        38
ANIMAL HOSPITAL                                             ,             12,        38
ANIMAL HOSPITAL                                             ,             13,        30
ANIMAL HOSPITAL                                             ,             14,        39
ANIMAL HOSPITAL                                             ,             15,        51
ANIMAL HOSPITAL                                             ,             16,        36
ANIMAL HOSPITAL                                             ,             17,        42
ANIMAL HOSPITAL                                             ,             18,        45
ANIMAL HOSPITAL                                             ,             19,        63
ANIMAL HOSPITAL                                             ,             20,        44
ANIMAL HOSPITAL                                             ,             21,        27
ANIMAL HOSPITAL                                             ,             22,        33
